Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.25,46,-40.9,1.92,0.47,0.564333,0.404687
0.22,46.7,-39.9,1.76,0.45,0.529391,0.400519
0.6,47.6,-39.4,3.27,0.64,0.87426,0.528719
0.29,48.5,-39.5,2.01,0.5,0.607805,0.466066
1.04,45.3,-42.8,4.14,0.95,1.151017,0.741883
0.3,45.5,-42,2.32,0.55,0.618195,0.372075
0.76,58.2,-42.5,3.71,0.75,0.983948,0.587658
0.37,58.8,-43.1,2.75,0.69,0.68654,0.375755
0.41,59.4,-43.1,2.57,0.55,0.722698,0.475346
0.62,61.5,-43.3,2.99,0.81,0.888712,0.653073
0.38,60.9,-43.9,2.58,0.47,0.695756,0.426606
0.29,62.2,-43.1,2.35,0.56,0.607805,0.34984
0.72,61.8,-42.4,3.29,0.81,0.957704,0.672638
0.56,61,-42.2,3.1,0.8,0.844616,0.52639
0.22,62.8,-42.1,1.74,0.47,0.529391,0.412779
0.41,61.5,-41.4,2.89,0.47,0.722698,0.396433
1.13,60.6,-40.4,4.05,1,1.199788,0.874909
0.57,57.9,-41.1,2.78,0.74,0.852124,0.678639
0.16,57.4,-41.9,1.5,0.43,0.451466,0.342194
0.15,57.1,-41.6,1.45,0.37,0.43713,0.332725
0.17,56.9,-41.9,1.57,0.38,0.465361,0.340083
0.2,56.6,-41.4,1.67,0.45,0.504754,0.386665
0.14,55.1,-42.2,1.44,0.34,0.422308,0.301581
0.26,54,-41.4,1.99,0.41,0.575509,0.399111
0.23,53.8,-40.7,1.99,0.4,0.541289,0.336643
0.22,54.5,-40.1,1.76,0.41,0.529391,0.400519
